time,error_abort_max_conn_retries,error_connect_econnrefused 
0,0.8,3.2 
10,0.8,3.2 
20,0.5,2 
30,0.7,2.8 
40,0.8,3.2 
50,0.8,3.2 
60,1.4,5.6 
70,1.6,6.4 
80,1.8,7.2 
90,1.4,5.6 
100,2.2,9.1 
110,2.5,9.7 
120,3,12 
130,3.8,15.2 
140,4.9,19.6 
150,4.5,18 
160,3.5,14 
170,4.6,18.4 
180,6.2,25 
190,7.8,31 
200,7.7,30.9 
210,7.9,31.5 
220,6.3,25.4 
230,8.8,35 
240,12.9,51.9 
250,17.4,69.6 
260,14.5,57.7 
270,16.6,66.6 
280,16,64.1 
290,17.3,69.4 
300,23.7,94.7 
310,31.9,127.5 
320,35.1,140.1 
330,28.7,115.1 
340,31.2,125 
350,29.4,117.7 
360,56.2,225.9 
370,66.1,263.6 
380,59.2,236.9 
390,62.7,251.2 
400,62.9,251.1 
410,66.5,266.8 
418,16.5,64.3 
